date,RECESSION,CPI,FEDFUNDS,INDPRO,PAYEMS,SP500,UNEMPLOY,YC
6/1/1969,n,0.008344972,1.26,-0.003787735,0.003646728,-0.002220643,-0.045,-2.17
7/1/1969,n,0.005524876,0.23,0.009721414,0.004369917,-0.057181157,0.103,-1.95
8/1/1969,n,0.002751033,-0.29,0.005267095,0.001315743,-0.062064834,0.052,-2.36
9/1/1969,n,0.005479466,0.58,0.002295659,0.003936874,0.039291912,-0.012,-1.64
10/1/1969,n,0.005449605,-0.04,-0.000225854,-0.001324671,-0.025341959,0.184,-2.06
11/1/1969,n,0.002713706,-0.15,0.000292856,0.002914777,0.042058342,0.009,-1.56
12/1/1969,n,0.005405419,-0.15,-0.009471796,-0.00049224,-0.034675919,-0.193,-1.09
1/1/1970,y,0.005376357,0.12,-0.002686545,0.002178084,-0.018830922,0.028,-1.23
2/1/1970,y,0.005347606,0.01,-0.018690711,-0.000912812,-0.079554029,0.317,-2.08
3/1/1970,y,0.005319161,0,-0.000660494,0.001810768,0.051352138,0.252,-0.68
4/1/1970,y,0.005291018,-1.22,-0.001299219,0.002045449,0.001451427,0.182,-0.28
5/1/1970,y,0.00526317,0.34,-0.002572662,-0.001442587,-0.0948417,0.162,0
6/1/1970,y,0.005235614,-0.15,-0.00116784,-0.00314448,-0.062904191,0.122,0.07
7/1/1970,y,0.005208345,-0.34,-0.003237976,-0.001336588,-0.051327698,0.152,0.17
8/1/1970,y,0.002594035,-0.4,0.002450071,0.000337833,0.070733222,0.104,0.87
9/1/1970,y,0.00516797,-0.59,-0.00178409,-0.001633918,0.043498667,0.081,1
10/1/1970,y,0.002574004,-0.33,-0.006916285,9.87E-05,0.033533548,0.2,1.13
11/1/1970,y,0.002567396,-0.09,-0.020207692,-0.005980296,-0.012533772,0.135,0.89
12/1/1970,n,0.005115101,-0.6,-0.006074244,-0.001589442,0.046356168,0.307,1.6
1/1/1971,n,0.00508907,-0.7,0.022705382,0.005424904,0.055213409,0.178,1.95
